codice_ipa,comune,cod_comune,provincia,cod_provincia,regione,cod_regione,importo_finanziamento,avviso,data_invio_candidatura,data_finanziamento,codice_cup,numero_finestra_temporale,numero_di_protocollo,stato_candidatura,misura,tipologia_ente
opdmc_1,Rovigo,029041,RO,029,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T11:13:55.000+0000,2022-12-12,E11F22002210006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cm_baldo,Caprino Veronese,023018,VR,023,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T10:45:00.000+0000,2022-12-12,I21F22001920006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odmc_071,Foggia,071024,FG,071,Puglia,16,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T17:07:41.000+0000,2022-12-12,J71F22002450006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
prdaa,Castelnuovo di Garfagnana,046009,LU,046,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-29T09:25:04.000+0000,2022-11-11,H71F22001910008,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
iacpct,Catania,087015,CT,087,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-12T15:31:04.000+0000,2022-12-12,G31F22002270006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
omco_li,Livorno,049009,LI,049,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T08:00:36.000+0000,2022-12-12,F41F22001680006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cgglp,Milano,015146,MI,015,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T09:21:55.000+0000,2022-12-12,I41F22001860006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odar,Roma,058091,RM,058,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T10:38:02.000+0000,2022-12-12,D81E22000620005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
opmco_at,Asti,005005,AT,005,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T08:52:41.000+0000,2022-12-12,E31F22002580006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_tn,Trento,022205,TN,022,Trentino-Alto Adige/Südtirol,04,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T15:10:09.000+0000,2022-12-12,G61F22002560006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
csmfabtn,Trento,022205,TN,022,Trentino-Alto Adige/Südtirol,04,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T09:30:05.000+0000,2022-12-12,H61F22002220006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
c_c852xf,Collecchio,034009,PR,034,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T09:33:20.000+0000,2022-12-12,B91F22002380006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odcecbz,Bolzano,021008,BZ,021,Trentino-Alto Adige/Südtirol,04,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T16:00:00.000+0000,2022-12-12,B51F22002040006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
uc_preso,Fino del Monte,016099,BG,016,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T14:57:15.000+0000,2022-12-12,B41F22002120006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cggl_si,Siena,052032,SI,052,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T10:15:10.000+0000,2022-12-12,D61F22002360006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cvt_tn,Borgo Valsugana,022022,TN,022,Trentino-Alto Adige/Südtirol,04,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-20T10:42:10.000+0000,2022-12-12,H31F22002140006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oappcp,Parma,034027,PR,034,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-13T13:51:45.000+0000,2022-12-12,I91F22001920006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odappcg,Genova,010025,GE,010,Liguria,07,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T08:19:21.000+0000,2022-12-12,H31J22000160005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oas_010,Genova,010025,GE,010,Liguria,07,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-29T08:02:58.000+0000,2022-11-11,B31F22003050006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
islia_0,Firenze,048017,FI,048,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T12:14:53.000+0000,2022-12-12,E11F22002300006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
udcb_ra,Faenza,039010,RA,039,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T14:57:25.000+0000,2022-12-12,F11F22001970006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odce_109,Fermo,109006,FM,109,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T14:30:28.000+0000,2022-12-12,J61F22002360006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cib_,Brescia,017029,BS,017,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-15T12:30:00.000+0000,2022-12-12,F81F22002670006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odipt_te,Teramo,067041,TE,067,Abruzzo,13,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T11:34:48.000+0000,2022-12-12,I41E22000120005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oafc_,Forlì,040012,FC,040,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T09:14:45.000+0000,2022-12-12,C61E22000150005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddc_093,Pordenone,093033,PN,093,Friuli-Venezia Giulia,06,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T10:14:36.000+0000,2022-12-12,B51E22000170005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odcd,Trani,110009,BT,110,Puglia,16,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T11:50:45.000+0000,2022-12-12,G71E22000110005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odap_mt,Matera,077014,MT,077,Basilicata,17,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-15T07:06:48.000+0000,2022-12-12,D11E22000110005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
udsa_,L'Aquila,066049,AQ,066,Abruzzo,13,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T08:38:49.000+0000,2022-12-12,E11F22002240006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
uclmp,Serravalle a Po,020062,MN,020,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T09:47:58.000+0000,2022-11-11,D21F22002420006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odadr,Ragusa,088009,RG,088,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-14T15:08:38.000+0000,2022-12-12,B21F22002150006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cglp,Matera,077014,MT,077,Basilicata,17,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-15T07:23:38.000+0000,2022-12-12,B11E22000080005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
otacl,Napoli,063049,,063,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-01T08:53:25.000+0000,2022-11-11,J61F22002810006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
p_aq,L'Aquila,066049,AQ,066,Abruzzo,13,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-27T11:52:43.000+0000,2022-12-12,F11F22001990006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddcd_og,Treviso,026086,TV,026,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T09:09:12.000+0000,2022-12-12,F41F22001690006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odipv_vb,Verbania,103072,VB,103,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-15T13:50:45.000+0000,2022-12-12,F51F22002360006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
aslrm,Roma,058091,RM,058,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T10:31:47.000+0000,2022-11-11,J81F22003140006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orchp_me,Messina,083048,ME,083,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-26T14:28:10.000+0000,2022-11-11,G41F22002780006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cil_049,Livorno,049009,LI,049,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-26T13:18:16.000+0000,2022-11-11,F41F22002200006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
udcas,Poggio Moiano,057054,RI,057,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-13T09:53:30.000+0000,2022-11-08,B51F22001530006,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
omco_re,Reggio nell'Emilia,035033,RE,035,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-31T09:00:01.000+0000,2022-11-11,B81H20001150005,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
uc_vrest,Colognola ai Colli,023028,VR,023,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-06T13:23:12.000+0000,2022-11-11,I31F22003200006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ciorfrf,Rimini,099014,RN,099,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T09:43:45.000+0000,2022-11-11,E91F22002570006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
utms,Lizzano,073011,TA,073,Puglia,16,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-05T07:38:29.000+0000,2022-11-11,E71F22003080006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
atipa,Palermo,082053,PA,082,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T13:18:21.000+0000,2022-11-11,B71F22002880006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ccm,Campobasso,070006,CB,070,Molise,14,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T08:23:21.000+0000,2022-11-11,H11F22003090006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_pu,Pesaro,041044,PU,041,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T09:07:00.000+0000,2022-11-11,E71F22003060002,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
issmgb,Terni,055032,TR,055,Umbria,10,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T10:28:26.000+0000,2022-11-11,B41F22002990006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
coda_058,Tivoli,058104,RM,058,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T07:23:08.000+0000,2022-11-11,H31F22002530002,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cmv_027,Venezia,027042,VE,027,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T09:46:44.000+0000,2022-11-11,J71F22002990006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_tp,Trapani,081021,TP,081,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T07:46:01.000+0000,2022-11-11,C91F22002820006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cdgg_061,Caserta,061022,CE,061,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T08:15:55.000+0000,2022-12-12,I21F22001950006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orfap_pg,Perugia,054039,PG,054,Umbria,10,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T19:48:03.000+0000,2022-11-11,C91F22002910006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_pr,Parma,034027,PR,034,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T07:38:06.000+0000,2022-11-11,H91F22002470006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
tplbs,Brescia,017029,BS,017,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T08:43:07.000+0000,2022-11-11,H88I22002490006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
arpam,Ancona,042002,AN,042,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T18:46:50.000+0000,2022-11-11,I31J22000250006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cglptr,Trento,022205,TN,022,Trentino-Alto Adige/Südtirol,04,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-02T10:04:44.000+0000,2022-11-11,J61F22002630006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odappcc,Catanzaro,079023,CZ,079,Calabria,18,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T09:15:33.000+0000,2022-11-11,G61F22003140006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orfap_va,Varese,012133,VA,012,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T08:33:59.000+0000,2022-11-11,E31F22003180006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oidcl_0,Roma,058091,RM,058,Lazio,12,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T09:28:56.000+0000,2022-11-11,H81F22002860006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odap_048,Firenze,048017,FI,048,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T08:28:07.000+0000,2022-11-11,B11F22002330002,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ciim_015,Milano,015146,MI,015,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T08:29:46.000+0000,2022-11-11,E41F22002920006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_vr,Verona,023091,VR,023,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-29T11:04:31.000+0000,2022-11-11,F31F22002710006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ciip_,Bolzano,021008,BZ,021,Trentino-Alto Adige/Südtirol,04,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T10:15:37.000+0000,2022-11-11,B51F22002420006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cciaa_pd,Padova,028060,PD,028,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-08T11:51:24.000+0000,2022-11-11,H21F22002820006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cpoppu,Pesaro,041044,PU,041,Marche,11,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-07T10:09:04.000+0000,2022-11-11,J71F22002830006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oring_rn,Rimini,099014,RN,099,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T10:35:39.000+0000,2022-11-11,H91F22002540006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cdggl,Salerno,065116,SA,065,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T10:00:45.000+0000,2022-11-11,B41F22003050006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oas_054,Spoleto,054051,PG,054,Umbria,10,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T10:15:47.000+0000,2022-11-11,F31F22002760006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
opfc_085,Caltanissetta,085004,CL,085,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-09T10:50:45.000+0000,2022-11-11,J91F22002240006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
orch_pvd,Torino,001272,TO,001,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T13:20:39.000+0000,2022-12-12,E11F22002230006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
CPC,Primiero San Martino di Castrozza,022245,TN,022,Trentino-Alto Adige/Südtirol,04,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-20T16:06:24.000+0000,2022-11-08,C11F22001720006,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
codar,Rimini,099014,RN,099,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-21T09:34:52.000+0000,2022-12-12,F91E22000170005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cdgdgt,Taranto,073027,TA,073,Puglia,16,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-06-17T09:55:36.000+0000,2022-11-08,G51F22001190006,1.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oachie,Chieti,069022,CH,069,Abruzzo,13,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T17:51:54.000+0000,2022-12-12,D71F22002100006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
csmcl,Sassari,090064,SS,090,Sardegna,20,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-29T09:28:31.000+0000,2022-11-11,F81F22003750006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odcec_at,Asti,005005,AT,005,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T08:19:58.000+0000,2022-12-12,D31E22000220005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cipa_,L'Aquila,066049,AQ,066,Abruzzo,13,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T15:13:28.000+0000,2022-12-12,I11F22002510006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oappc_no,Novara,003106,NO,003,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T12:57:49.000+0000,2022-12-12,C11F22002210006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ODCECRO,Rovigo,029041,RO,029,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T15:47:42.000+0000,2022-12-12,B11F22001940006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddc_06,Chieti,069022,CH,069,Abruzzo,13,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-09-05T10:32:14.000+0000,2022-11-11,H71F22002400006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddcd_09,Siracusa,089017,SR,089,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T17:31:39.000+0000,2022-12-12,H31E22000200005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odcec_mi,Milano,015146,MI,015,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T16:07:27.000+0000,2022-12-12,E41F22002190002,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
COGTEP,Torino,001272,TO,001,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-18T12:17:00.000+0000,2022-12-12,H11F22002400006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
ucm_090,Bonorva,090013,SS,090,Sardegna,20,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-20T13:25:47.000+0000,2022-12-12,H21F22002230006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oappc_pd,Padova,028060,PD,028,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-20T11:49:07.000+0000,2022-12-12,J21F22002470002,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddcdce,Caserta,061022,CE,061,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T06:51:39.000+0000,2022-12-12,F21F22002260006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddcdnn,Aversa,061005,CE,061,Campania,15,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T07:43:04.000+0000,2022-12-12,C31E22000060005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odapplc,Lecco,097042,LC,097,Lombardia,03,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T07:50:56.000+0000,2022-12-12,H11F22002370002,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
uvv_033,Podenzano,033035,PC,033,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-26T11:32:12.000+0000,2022-12-12,C61F22002130006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odmv_077,Matera,077014,MT,077,Basilicata,17,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T08:10:31.000+0000,2022-12-12,G11F22002010006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
odappz,Potenza,076063,PZ,076,Basilicata,17,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T08:54:30.000+0000,2022-12-12,F31E22000190005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddc_083,Messina,083048,ME,083,Sicilia,19,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-22T09:20:27.000+0000,2022-12-12,D41F22002440006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cpoclpo,Prato,100005,PO,100,Toscana,09,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T09:50:27.000+0000,2022-12-12,F31E22000200005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
oddc_033,Piacenza,033032,PC,033,Emilia-Romagna,08,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T09:12:42.000+0000,2022-12-12,E31F22002610006,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cava_006,Alessandria,006003,AL,006,Piemonte,01,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-08-02T07:31:54.000+0000,2022-11-11,F31F22002720006,3.0,49.0,A,1.4.4 Adozione identità digitale,Comune
cdgpv,Vicenza,024116,VI,024,Veneto,05,14000.0,1.4.4 Adozione SPID CIE-Amministrazioni diverse da Comuni e Scuole - Maggio 2022,2022-07-19T09:35:46.000+0000,2022-12-12,B31E22000180005,2.0,49.0,A,1.4.4 Adozione identità digitale,Comune
